rank,player_name,pokemon_name,teratypes,nature
153,Baris “BillaVGC” Akcos [DE],Chien-Pao,Ghost,Sword of Ruin
154,Aurélien Soula [FR],Iron-Hands,Grass,Quark Drive
154,Aurélien Soula [FR],ogerpon-hearthflame-mask,Fire,Mold Breaker
154,Aurélien Soula [FR],Terapagos,Stellar,Tera Shift
154,Aurélien Soula [FR],Klefki,Ghost,Prankster
154,Aurélien Soula [FR],Smeargle,Grass,Moody
154,Aurélien Soula [FR],tornadus-incarnate,Dark,Prankster
155,Ryosei Nambu [JP],calyrex-ice,Grass,As One
155,Ryosei Nambu [JP],Clefairy,Dragon,Friend Guard
155,Ryosei Nambu [JP],Pelipper,Ground,Drizzle
155,Ryosei Nambu [JP],Farigiraf,Dragon,Armor Tail
155,Ryosei Nambu [JP],urshifu-rapid-strike,Water,Unseen Fist
155,Ryosei Nambu [JP],Raging-Bolt,Electric,Protosynthesis
156,Dillon Kleinvehn [US],Rillaboom,Fire,Grassy Surge
156,Dillon Kleinvehn [US],Grimmsnarl,Ghost,Prankster
156,Dillon Kleinvehn [US],Amoonguss,Water,Regenerator
156,Dillon Kleinvehn [US],Kyogre,Grass,Drizzle
156,Dillon Kleinvehn [US],Incineroar,Ghost,Intimidate
156,Dillon Kleinvehn [US],Raging-Bolt,Electric,Protosynthesis
157,Esteban Ojeda [CL],urshifu-rapid-strike,Stellar,Unseen Fist
157,Esteban Ojeda [CL],Incineroar,Ghost,Intimidate
157,Esteban Ojeda [CL],Raging-Bolt,Electric,Protosynthesis
157,Esteban Ojeda [CL],calyrex-ice,Normal,As One
157,Esteban Ojeda [CL],ogerpon,Grass,Defiant
157,Esteban Ojeda [CL],landorus-incarnate,Ghost,Sheer Force
158,Audric David [FR],ogerpon-cornerstone-mask,Rock,Sturdy
158,Audric David [FR],Rillaboom,Fire,Grassy Surge
158,Audric David [FR],calyrex-ice,Fire,As One
158,Audric David [FR],Raging-Bolt,Fairy,Protosynthesis
158,Audric David [FR],Pelipper,Ghost,Drizzle
158,Audric David [FR],urshifu-rapid-strike,Water,Unseen Fist
159,Oscar Princivalle [UK],Raging-Bolt,Electric,Protosynthesis
159,Oscar Princivalle [UK],Farigiraf,Fairy,Armor Tail
159,Oscar Princivalle [UK],calyrex-ice,Fire,As One
159,Oscar Princivalle [UK],ogerpon-cornerstone-mask,Rock,Sturdy
159,Oscar Princivalle [UK],urshifu-rapid-strike,Stellar,Unseen Fist
159,Oscar Princivalle [UK],Rillaboom,Fire,Grassy Surge
160,Ng Yeong Jiang [MY],Zamazenta,Dragon,Dauntless Shield
160,Ng Yeong Jiang [MY],indeedee-female,Water,Psychic Surge
160,Ng Yeong Jiang [MY],ogerpon-cornerstone-mask,Rock,Sturdy
160,Ng Yeong Jiang [MY],Armarouge,Grass,Flash Fire
160,Ng Yeong Jiang [MY],Flutter-Mane,Fairy,Protosynthesis
160,Ng Yeong Jiang [MY],urshifu-rapid-strike,Grass,Unseen Fist
161,Bryce Facey [AU],Raging-Bolt,Electric,Protosynthesis
161,Bryce Facey [AU],calyrex-ice,Normal,As One
161,Bryce Facey [AU],Iron-Crown,Ground,Quark Drive
161,Bryce Facey [AU],urshifu-rapid-strike,Stellar,Unseen Fist
161,Bryce Facey [AU],Clefairy,Ground,Friend Guard
161,Bryce Facey [AU],ogerpon-cornerstone-mask,Rock,Sturdy
162,Adit Selvaraj [US],Flutter-Mane,Grass,Protosynthesis
162,Adit Selvaraj [US],Rillaboom,Grass,Grassy Surge
162,Adit Selvaraj [US],ogerpon-hearthflame-mask,Fire,Mold Breaker
162,Adit Selvaraj [US],Chien-Pao,Ghost,Sword of Ruin
162,Adit Selvaraj [US],arcanine-hisui,Ghost,Intimidate
162,Adit Selvaraj [US],Zamazenta,Dragon,Dauntless Shield
163,Rodrigo Tapia [CL],Chien-Pao,Ghost,Sword of Ruin
163,Rodrigo Tapia [CL],Entei,Normal,Inner Focus
163,Rodrigo Tapia [CL],ogerpon-hearthflame-mask,Fire,Mold Breaker
163,Rodrigo Tapia [CL],Whimsicott,Water,Prankster
163,Rodrigo Tapia [CL],Rillaboom,Ground,Grassy Surge
163,Rodrigo Tapia [CL],Zamazenta,Dragon,Dauntless Shield
164,Bowei Zhang [CN],calyrex-ice,Fire,As One
164,Bowei Zhang [CN],Chi-Yu,Ghost,Beads of Ruin
164,Bowei Zhang [CN],Raging-Bolt,Electric,Protosynthesis
164,Bowei Zhang [CN],Rillaboom,Fire,Grassy Surge
164,Bowei Zhang [CN],urshifu-single-strike,Stellar,Unseen Fist
164,Bowei Zhang [CN],Amoonguss,Water,Regenerator
165,Masahiro Taoka [JP],Raging-Bolt,Electric,Protosynthesis
165,Masahiro Taoka [JP],Rillaboom,Fire,Grassy Surge
165,Masahiro Taoka [JP],Incineroar,Ghost,Intimidate
165,Masahiro Taoka [JP],urshifu-rapid-strike,Stellar,Unseen Fist
165,Masahiro Taoka [JP],Clefairy,Ground,Friend Guard
165,Masahiro Taoka [JP],calyrex-shadow,Fairy,As One
166,Kazuki Kanehira [US],Iron-Hands,Poison,Quark Drive
166,Kazuki Kanehira [US],ogerpon-hearthflame-mask,Fire,Mold Breaker
166,Kazuki Kanehira [US],Whimsicott,Ghost,Prankster
166,Kazuki Kanehira [US],urshifu-rapid-strike,Water,Unseen Fist
166,Kazuki Kanehira [US],Farigiraf,Water,Armor Tail
166,Kazuki Kanehira [US],Miraidon,Fairy,Hadron Engine
167,Ofomezie Emelle [US],calyrex-ice,Fire,As One
167,Ofomezie Emelle [US],indeedee-female,Steel,Psychic Surge
167,Ofomezie Emelle [US],Raging-Bolt,Electric,Protosynthesis
167,Ofomezie Emelle [US],Amoonguss,Water,Regenerator
167,Ofomezie Emelle [US],Smeargle,Grass,Own Tempo
167,Ofomezie Emelle [US],ursaluna-bloodmoon,Normal,Mind’s Eye
168,Stefano Greppi [IT],urshifu-rapid-strike,Stellar,Unseen Fist
168,Stefano Greppi [IT],Raging-Bolt,Electric,Protosynthesis
168,Stefano Greppi [IT],Amoonguss,Water,Regenerator
168,Stefano Greppi [IT],Incineroar,Ghost,Intimidate
168,Stefano Greppi [IT],calyrex-shadow,Fairy,As One
168,Stefano Greppi [IT],Whimsicott,Fire,Prankster
169,Davide Cauteruccio [IT],Rillaboom,Fire,Grassy Surge
169,Davide Cauteruccio [IT],Raging-Bolt,Fairy,Protosynthesis
169,Davide Cauteruccio [IT],urshifu-rapid-strike,Ghost,Unseen Fist
169,Davide Cauteruccio [IT],Incineroar,Water,Intimidate
169,Davide Cauteruccio [IT],Smeargle,Ghost,Moody
169,Davide Cauteruccio [IT],calyrex-shadow,Grass,As One
170,João Santos [PT],Rillaboom,Fire,Grassy Surge
170,João Santos [PT],Clefairy,Grass,Friend Guard
170,João Santos [PT],urshifu-single-strike,Stellar,Unseen Fist
170,João Santos [PT],Raging-Bolt,Electric,Protosynthesis
170,João Santos [PT],Incineroar,Ghost,Intimidate
170,João Santos [PT],calyrex-shadow,Normal,As One
171,Jon Hu [US],indeedee-female,Fairy,Psychic Surge
171,Jon Hu [US],weezing-galar,Dark,Neutralizing Gas
171,Jon Hu [US],Dondozo,Grass,Unaware
171,Jon Hu [US],tatsugiri-curly,Steel,Commander
171,Jon Hu [US],urshifu-single-strike,Dark,Unseen Fist
171,Jon Hu [US],calyrex-shadow,Ghost,As One
172,Shigehisa Osajima [JP],Zamazenta,Dragon,Dauntless Shield
172,Shigehisa Osajima [JP],urshifu-rapid-strike,Grass,Unseen Fist
172,Shigehisa Osajima [JP],Rillaboom,Fire,Grassy Surge
172,Shigehisa Osajima [JP],Raging-Bolt,Fairy,Protosynthesis
172,Shigehisa Osajima [JP],tornadus-incarnate,Steel,Prankster
172,Shigehisa Osajima [JP],Chi-Yu,Ghost,Beads of Ruin
173,Alessio Fuscà [IT],ogerpon-hearthflame-mask,Fire,Mold Breaker
173,Alessio Fuscà [IT],Raging-Bolt,Electric,Protosynthesis
173,Alessio Fuscà [IT],Incineroar,Ghost,Intimidate
173,Alessio Fuscà [IT],calyrex-shadow,Dark,As One
173,Alessio Fuscà [IT],urshifu-rapid-strike,Stellar,Unseen Fist
173,Alessio Fuscà [IT],Rillaboom,Fairy,Grassy Surge
174,Camilo Liberona [CL],Farigiraf,Fairy,Armor Tail
174,Camilo Liberona [CL],Chien-Pao,Ghost,Sword of Ruin
174,Camilo Liberona [CL],Whimsicott,Fire,Prankster
174,Camilo Liberona [CL],Miraidon,Fairy,Hadron Engine
174,Camilo Liberona [CL],Entei,Normal,Inner Focus
174,Camilo Liberona [CL],Iron-Hands,Water,Quark Drive
175,Daiki Sudo [JP],calyrex-ice,Dragon,As One
175,Daiki Sudo [JP],Flutter-Mane,Fairy,Protosynthesis
175,Daiki Sudo [JP],urshifu-rapid-strike,Stellar,Unseen Fist
175,Daiki Sudo [JP],Farigiraf,Dark,Armor Tail
175,Daiki Sudo [JP],Torkoal,Fire,Drought
175,Daiki Sudo [JP],ogerpon-cornerstone-mask,Rock,Sturdy
176,Lucas Mester-Christensen [DK],urshifu-rapid-strike,Water,Unseen Fist
176,Lucas Mester-Christensen [DK],Ursaluna,Ghost,Guts
176,Lucas Mester-Christensen [DK],Amoonguss,Water,Regenerator
176,Lucas Mester-Christensen [DK],tornadus-incarnate,Steel,Prankster
176,Lucas Mester-Christensen [DK],Okidogi,Ground,Guard Dog
176,Lucas Mester-Christensen [DK],Lunala,Grass,Shadow Shield
177,Luke Bowar [US],urshifu-single-strike,Dark,Unseen Fist
177,Luke Bowar [US],Smeargle,Ghost,Moody
177,Luke Bowar [US],indeedee-female,Ground,Psychic Surge
177,Luke Bowar [US],Amoonguss,Water,Regenerator
177,Luke Bowar [US],calyrex-ice,Normal,As One
177,Luke Bowar [US],Torkoal,Fire,Drought
178,Stefano De Maria [IT],ogerpon-hearthflame-mask,Fire,Mold Breaker
178,Stefano De Maria [IT],Grimmsnarl,Ghost,Prankster
178,Stefano De Maria [IT],ursaluna-bloodmoon,Normal,Mind’s Eye
178,Stefano De Maria [IT],Farigiraf,Water,Armor Tail
178,Stefano De Maria [IT],Miraidon,Fairy,Hadron Engine
178,Stefano De Maria [IT],Iron-Hands,Water,Quark Drive
179,Jordan Guy [UK],Zamazenta,Dragon,Dauntless Shield
179,Jordan Guy [UK],tornadus-incarnate,Flying,Prankster
179,Jordan Guy [UK],Chien-Pao,Ghost,Sword of Ruin
179,Jordan Guy [UK],Rillaboom,Grass,Grassy Surge
179,Jordan Guy [UK],urshifu-rapid-strike,Water,Unseen Fist
179,Jordan Guy [UK],Chandelure,Grass,Flash Fire
180,Thomas Chen [AU],Incineroar,Ghost,Intimidate
180,Thomas Chen [AU],Clefairy,Water,Friend Guard
180,Thomas Chen [AU],urshifu-rapid-strike,Stellar,Unseen Fist
180,Thomas Chen [AU],calyrex-shadow,Normal,As One
180,Thomas Chen [AU],Raging-Bolt,Fairy,Protosynthesis
180,Thomas Chen [AU],Rillaboom,Fire,Grassy Surge
181,Davide Miraglia [IT],Iron-Hands,Bug,Quark Drive
181,Davide Miraglia [IT],Chi-Yu,Fire,Beads of Ruin
181,Davide Miraglia [IT],Whimsicott,Fire,Prankster
181,Davide Miraglia [IT],Miraidon,Fairy,Hadron Engine
181,Davide Miraglia [IT],Farigiraf,Water,Armor Tail
181,Davide Miraglia [IT],urshifu-rapid-strike,Grass,Unseen Fist
182,Rafe Osborne [CA],landorus-incarnate,Poison,Sheer Force
182,Rafe Osborne [CA],Zamazenta,Dragon,Dauntless Shield
182,Rafe Osborne [CA],Rillaboom,Grass,Grassy Surge
182,Rafe Osborne [CA],Latios,Steel,Levitate
182,Rafe Osborne [CA],Flutter-Mane,Dark,Protosynthesis
182,Rafe Osborne [CA],Tyranitar,Ghost,Sand Stream
183,Matthieu Barbe [FR],Whimsicott,Water,Prankster
183,Matthieu Barbe [FR],Iron-Hands,Grass,Quark Drive
183,Matthieu Barbe [FR],Farigiraf,Water,Armor Tail
183,Matthieu Barbe [FR],ogerpon-hearthflame-mask,Fire,Mold Breaker
183,Matthieu Barbe [FR],urshifu-single-strike,Dark,Unseen Fist
183,Matthieu Barbe [FR],Miraidon,Fairy,Hadron Engine
184,Raphael Bagara [CA],Miraidon,Fairy,Hadron Engine
184,Raphael Bagara [CA],urshifu-single-strike,Dark,Unseen Fist
184,Raphael Bagara [CA],ursaluna-bloodmoon,Normal,Mind’s Eye
184,Raphael Bagara [CA],Farigiraf,Water,Armor Tail
184,Raphael Bagara [CA],Whimsicott,Fire,Prankster
184,Raphael Bagara [CA],ogerpon-hearthflame-mask,Fire,Mold Breaker
185,Kento Sato [JP],Incineroar,Water,Intimidate
185,Kento Sato [JP],Rillaboom,Fire,Grassy Surge
185,Kento Sato [JP],urshifu-rapid-strike,Stellar,Unseen Fist
185,Kento Sato [JP],Raging-Bolt,Fairy,Protosynthesis
185,Kento Sato [JP],calyrex-shadow,Dark,As One
185,Kento Sato [JP],Amoonguss,Water,Regenerator
186,Yan Sym [BR],Raging-Bolt,Electric,Protosynthesis
186,Yan Sym [BR],urshifu-rapid-strike,Stellar,Unseen Fist
186,Yan Sym [BR],Rillaboom,Grass,Grassy Surge
186,Yan Sym [BR],calyrex-ice,Fire,As One
186,Yan Sym [BR],ogerpon-cornerstone-mask,Rock,Sturdy
186,Yan Sym [BR],Farigiraf,Water,Armor Tail
187,Tsz Him Adrian Tang [HK],Miraidon,Fairy,Hadron Engine
187,Tsz Him Adrian Tang [HK],Skeledirge,Normal,Unaware
187,Tsz Him Adrian Tang [HK],Farigiraf,Fairy,Armor Tail
187,Tsz Him Adrian Tang [HK],Iron-Hands,Ice,Quark Drive
187,Tsz Him Adrian Tang [HK],ninetales-alola,Dark,Snow Warning
187,Tsz Him Adrian Tang [HK],Grimmsnarl,Water,Prankster
188,Shogo Hamaguchi [JP],Kyogre,Grass,Drizzle
188,Shogo Hamaguchi [JP],Raging-Bolt,Electric,Protosynthesis
188,Shogo Hamaguchi [JP],Incineroar,Ghost,Intimidate
188,Shogo Hamaguchi [JP],Amoonguss,Water,Regenerator
188,Shogo Hamaguchi [JP],Rillaboom,Fire,Grassy Surge
188,Shogo Hamaguchi [JP],Grimmsnarl,Ghost,Prankster
189,Selahattin Sturm [DE],Raging-Bolt,Electric,Protosynthesis
189,Selahattin Sturm [DE],urshifu-rapid-strike,Stellar,Unseen Fist
189,Selahattin Sturm [DE],Farigiraf,Ground,Armor Tail
189,Selahattin Sturm [DE],calyrex-ice,Fire,As One
189,Selahattin Sturm [DE],Amoonguss,Water,Regenerator
189,Selahattin Sturm [DE],Rillaboom,Fire,Grassy Surge
190,Sejun Park [KR],Pachirisu,Fairy,Volt Absorb
190,Sejun Park [KR],Farigiraf,Ground,Armor Tail
190,Sejun Park [KR],Chi-Yu,Ghost,Beads of Ruin
190,Sejun Park [KR],Miraidon,Fairy,Hadron Engine
190,Sejun Park [KR],Iron-Hands,Grass,Quark Drive
190,Sejun Park [KR],urshifu-rapid-strike,Stellar,Unseen Fist
191,Brendan Zheng [US],Incineroar,Bug,Intimidate
191,Brendan Zheng [US],Iron-Hands,Grass,Quark Drive
191,Brendan Zheng [US],Farigiraf,Fairy,Armor Tail
191,Brendan Zheng [US],Miraidon,Fairy,Hadron Engine
191,Brendan Zheng [US],urshifu-rapid-strike,Stellar,Unseen Fist
191,Brendan Zheng [US],Whimsicott,Dark,Prankster
192,CHING-CHE TSAI [TW],moltres-galar,Dark,Berserk
192,CHING-CHE TSAI [TW],Flutter-Mane,Normal,Protosynthesis
192,CHING-CHE TSAI [TW],Chandelure,Grass,Flash Fire
192,CHING-CHE TSAI [TW],Chien-Pao,Ghost,Sword of Ruin
192,CHING-CHE TSAI [TW],Zamazenta,Dragon,Dauntless Shield
192,CHING-CHE TSAI [TW],Rillaboom,Grass,Grassy Surge
193,Ryo Takahashi [JP],Chi-Yu,Ghost,Beads of Ruin
193,Ryo Takahashi [JP],Whimsicott,Ghost,Prankster
193,Ryo Takahashi [JP],Iron-Hands,Fairy,Quark Drive
193,Ryo Takahashi [JP],Miraidon,Fairy,Hadron Engine
193,Ryo Takahashi [JP],Farigiraf,Water,Armor Tail
193,Ryo Takahashi [JP],Iron-Leaves,Normal,Quark Drive
194,Jeremy Boyd [US],Gholdengo,Normal,Good as Gold
194,Jeremy Boyd [US],Gastrodon,Fire,Storm Drain
194,Jeremy Boyd [US],calyrex-ice,Fire,As One
194,Jeremy Boyd [US],Rillaboom,Grass,Grassy Surge
194,Jeremy Boyd [US],Incineroar,Ghost,Intimidate
194,Jeremy Boyd [US],Amoonguss,Water,Regenerator
195,Gilberto Espejel [MX],Farigiraf,Fire,Armor Tail
195,Gilberto Espejel [MX],urshifu-rapid-strike,Stellar,Unseen Fist
195,Gilberto Espejel [MX],Iron-Hands,Grass,Quark Drive
195,Gilberto Espejel [MX],Miraidon,Fairy,Hadron Engine
195,Gilberto Espejel [MX],Grimmsnarl,Ghost,Prankster
195,Gilberto Espejel [MX],ogerpon-hearthflame-mask,Fire,Mold Breaker
196,Sam Pletcher [US],Gholdengo,Water,Good as Gold
196,Sam Pletcher [US],Koraidon,Fire,Orichalcum Pulse
196,Sam Pletcher [US],Incineroar,Ghost,Intimidate
196,Sam Pletcher [US],Flutter-Mane,Fairy,Protosynthesis
196,Sam Pletcher [US],Brute-Bonnet,Fairy,Protosynthesis
196,Sam Pletcher [US],Raging-Bolt,Water,Protosynthesis
197,Matthew So [US],urshifu-rapid-strike,Water,Unseen Fist
197,Matthew So [US],Rillaboom,Fire,Grassy Surge
197,Matthew So [US],calyrex-shadow,Normal,As One
197,Matthew So [US],Chi-Yu,Ghost,Beads of Ruin
197,Matthew So [US],indeedee-female,Grass,Psychic Surge
197,Matthew So [US],tornadus-incarnate,Dark,Prankster
198,Luka Trejgut [US],Rillaboom,Water,Grassy Surge
198,Luka Trejgut [US],calyrex-shadow,Normal,As One
198,Luka Trejgut [US],Incineroar,Ghost,Intimidate
198,Luka Trejgut [US],Raging-Bolt,Electric,Protosynthesis
198,Luka Trejgut [US],urshifu-rapid-strike,Stellar,Unseen Fist
198,Luka Trejgut [US],ogerpon-hearthflame-mask,Fire,Mold Breaker
199,Logan Pressley [US],Iron-Hands,Grass,Quark Drive
199,Logan Pressley [US],Farigiraf,Water,Armor Tail
199,Logan Pressley [US],ogerpon-wellspring-mask,Water,Water Absorb
199,Logan Pressley [US],calyrex-ice,Fire,As One
199,Logan Pressley [US],Scraggy,Poison,Intimidate
199,Logan Pressley [US],landorus-incarnate,Ground,Sheer Force
200,Raj Desai [IE],urshifu-rapid-strike,Water,Unseen Fist
200,Raj Desai [IE],Raging-Bolt,Electric,Protosynthesis
200,Raj Desai [IE],calyrex-ice,Fire,As One
200,Raj Desai [IE],Smeargle,Grass,Own Tempo
200,Raj Desai [IE],Incineroar,Ghost,Intimidate
200,Raj Desai [IE],Amoonguss,Water,Regenerator
201,Sergio Sanchez [ES],Grimmsnarl,Ghost,Prankster
201,Sergio Sanchez [ES],Miraidon,Fairy,Hadron Engine
201,Sergio Sanchez [ES],Incineroar,Water,Intimidate
201,Sergio Sanchez [ES],Iron-Hands,Poison,Quark Drive
201,Sergio Sanchez [ES],Farigiraf,Dragon,Armor Tail
201,Sergio Sanchez [ES],urshifu-rapid-strike,Stellar,Unseen Fist
202,Jourdan Bul-lalayao [US],Raging-Bolt,Electric,Protosynthesis
202,Jourdan Bul-lalayao [US],calyrex-ice,Grass,As One
202,Jourdan Bul-lalayao [US],Incineroar,Fairy,Intimidate
202,Jourdan Bul-lalayao [US],urshifu-rapid-strike,Grass,Unseen Fist
202,Jourdan Bul-lalayao [US],Rillaboom,Fire,Grassy Surge
202,Jourdan Bul-lalayao [US],Pelipper,Flying,Drizzle
203,Rily Corn [US],basculegion-male,Grass,Swift Swim
203,Rily Corn [US],Tsareena,Ice,Queenly Majesty
203,Rily Corn [US],landorus-incarnate,Ghost,Sheer Force
203,Rily Corn [US],urshifu-rapid-strike,Grass,Unseen Fist
203,Rily Corn [US],Kyogre,Grass,Drizzle
203,Rily Corn [US],tornadus-incarnate,Dark,Prankster
204,Alessandro Pietro Tucci [IT],calyrex-shadow,Normal,As One
204,Alessandro Pietro Tucci [IT],Incineroar,Ghost,Intimidate
204,Alessandro Pietro Tucci [IT],ogerpon-hearthflame-mask,Fire,Mold Breaker
204,Alessandro Pietro Tucci [IT],Rillaboom,Fire,Grassy Surge
204,Alessandro Pietro Tucci [IT],Raging-Bolt,Fairy,Protosynthesis
204,Alessandro Pietro Tucci [IT],urshifu-rapid-strike,Stellar,Unseen Fist
205,rikuto noda [JP],Iron-Hands,Grass,Quark Drive
205,rikuto noda [JP],Whimsicott,Ghost,Prankster
205,rikuto noda [JP],Miraidon,Fairy,Hadron Engine
205,rikuto noda [JP],Iron-Treads,Bug,Quark Drive
205,rikuto noda [JP],urshifu-single-strike,Dark,Unseen Fist
205,rikuto noda [JP],Farigiraf,Water,Armor Tail
206,I-AN LIU [TW],Rillaboom,Grass,Grassy Surge
206,I-AN LIU [TW],urshifu-rapid-strike,Stellar,Unseen Fist
206,I-AN LIU [TW],Incineroar,Ghost,Intimidate
206,I-AN LIU [TW],calyrex-ice,Fire,As One
206,I-AN LIU [TW],Raging-Bolt,Fairy,Protosynthesis
206,I-AN LIU [TW],Farigiraf,Fairy,Armor Tail
207,Jinho Park [KR],Farigiraf,Water,Armor Tail
207,Jinho Park [KR],Groudon,Fire,Drought
207,Jinho Park [KR],Raging-Bolt,Fairy,Protosynthesis
207,Jinho Park [KR],Flutter-Mane,Fairy,Protosynthesis
207,Jinho Park [KR],ogerpon-cornerstone-mask,Rock,Sturdy
207,Jinho Park [KR],Chi-Yu,Ghost,Beads of Ruin
208,Marco Marziali [IT],ogerpon-hearthflame-mask,Rock,Sturdy
208,Marco Marziali [IT],landorus-incarnate,Ground,Sheer Force
208,Marco Marziali [IT],Rillaboom,Fire,Grassy Surge
208,Marco Marziali [IT],Smeargle,Ghost,Moody
208,Marco Marziali [IT],urshifu-rapid-strike,Water,Unseen Fist
208,Marco Marziali [IT],calyrex-ice,Water,As One
209,Joan Garcia [ES],Iron-Hands,Water,Quark Drive
209,Joan Garcia [ES],Farigiraf,Water,Armor Tail
209,Joan Garcia [ES],Chi-Yu,Fire,Beads of Ruin
209,Joan Garcia [ES],urshifu-single-strike,Dark,Unseen Fist
209,Joan Garcia [ES],Miraidon,Fairy,Hadron Engine
209,Joan Garcia [ES],Whimsicott,Fire,Prankster
210,Hsuan-Chih Kuo [NL],Incineroar,Ghost,Intimidate
210,Hsuan-Chih Kuo [NL],thundurus-incarnate,Ghost,Prankster
210,Hsuan-Chih Kuo [NL],Miraidon,Fairy,Hadron Engine
210,Hsuan-Chih Kuo [NL],Tinkaton,Fire,Mold Breaker
210,Hsuan-Chih Kuo [NL],ogerpon-cornerstone-mask,Rock,Sturdy
210,Hsuan-Chih Kuo [NL],Oranguru,Ground,Symbiosis
211,Louis Markl [DE],Dondozo,Grass,Unaware
211,Louis Markl [DE],maushold-family-of-four,Ghost,Friend Guard
211,Louis Markl [DE],calyrex-shadow,Ghost,As One
211,Louis Markl [DE],tatsugiri-curly,Steel,Commander
211,Louis Markl [DE],weezing-galar,Normal,Neutralizing Gas
211,Louis Markl [DE],Mienshao,Fighting,Inner Focus
212,Gonzalo Sintas [UY],Rillaboom,Fire,Grassy Surge
212,Gonzalo Sintas [UY],Terapagos,Stellar,Tera Shift
212,Gonzalo Sintas [UY],urshifu-rapid-strike,Stellar,Unseen Fist
212,Gonzalo Sintas [UY],Incineroar,Ghost,Intimidate
212,Gonzalo Sintas [UY],Amoonguss,Water,Regenerator
212,Gonzalo Sintas [UY],Flutter-Mane,Grass,Protosynthesis
213,Luke Iuele [AU],Raging-Bolt,Electric,Protosynthesis
213,Luke Iuele [AU],ursaluna-bloodmoon,Normal,Mind’s Eye
213,Luke Iuele [AU],Smeargle,Ghost,Moody
213,Luke Iuele [AU],urshifu-rapid-strike,Water,Unseen Fist
213,Luke Iuele [AU],Rillaboom,Fire,Grassy Surge
213,Luke Iuele [AU],calyrex-ice,Fire,As One
214,Aberto Ríos [PA],Alcremie,Water,Sweet Veil
214,Aberto Ríos [PA],Raging-Bolt,Fairy,Protosynthesis
214,Aberto Ríos [PA],Amoonguss,Dark,Regenerator
214,Aberto Ríos [PA],indeedee-female,Dragon,Psychic Surge
214,Aberto Ríos [PA],Armarouge,Fairy,Flash Fire
214,Aberto Ríos [PA],calyrex-ice,Normal,As One
215,Henry Rich [AU],Smeargle,Grass,Moody
215,Henry Rich [AU],urshifu-rapid-strike,Stellar,Unseen Fist
215,Henry Rich [AU],tornadus-incarnate,Dark,Prankster
215,Henry Rich [AU],Scream-Tail,Dark,Protosynthesis
215,Henry Rich [AU],Terapagos,Stellar,Tera Shift
215,Henry Rich [AU],Rillaboom,Grass,Grassy Surge
216,Ismael Aarab Umpiérrez [ES],Whimsicott,Water,Prankster
216,Ismael Aarab Umpiérrez [ES],Rillaboom,Fire,Grassy Surge
216,Ismael Aarab Umpiérrez [ES],urshifu-rapid-strike,Stellar,Unseen Fist
216,Ismael Aarab Umpiérrez [ES],Incineroar,Ghost,Intimidate
216,Ismael Aarab Umpiérrez [ES],calyrex-shadow,Dark,As One
216,Ismael Aarab Umpiérrez [ES],indeedee-female,Water,Psychic Surge
217,Alexavier Alvarez [US],urshifu-rapid-strike,Stellar,Unseen Fist
217,Alexavier Alvarez [US],ogerpon-cornerstone-mask,Rock,Sturdy
217,Alexavier Alvarez [US],calyrex-ice,Fire,As One
217,Alexavier Alvarez [US],Farigiraf,Water,Armor Tail
217,Alexavier Alvarez [US],Raging-Bolt,Electric,Protosynthesis
217,Alexavier Alvarez [US],Rillaboom,Fire,Grassy Surge
218,Kazuki Sumiya [JP],Clefairy,Grass,Friend Guard
218,Kazuki Sumiya [JP],calyrex-shadow,Grass,As One
218,Kazuki Sumiya [JP],urshifu-rapid-strike,Water,Unseen Fist
218,Kazuki Sumiya [JP],Smeargle,Grass,Moody
218,Kazuki Sumiya [JP],Rillaboom,Fire,Grassy Surge
218,Kazuki Sumiya [JP],tornadus-incarnate,Dark,Prankster
219,Philip Puertas [BR],Kyogre,Grass,Drizzle
219,Philip Puertas [BR],landorus-incarnate,Steel,Sheer Force
219,Philip Puertas [BR],Rillaboom,Fire,Grassy Surge
219,Philip Puertas [BR],Farigiraf,Fairy,Armor Tail
219,Philip Puertas [BR],tornadus-incarnate,Steel,Prankster
219,Philip Puertas [BR],Archaludon,Fairy,Stamina
220,Yuki Zaninovich [US],Gothitelle,Water,Shadow Tag
220,Yuki Zaninovich [US],Flutter-Mane,Fairy,Protosynthesis
220,Yuki Zaninovich [US],Koraidon,Fire,Orichalcum Pulse
220,Yuki Zaninovich [US],Raging-Bolt,Electric,Protosynthesis
220,Yuki Zaninovich [US],Ting-Lu,Fairy,Vessel of Ruin
220,Yuki Zaninovich [US],ogerpon-cornerstone-mask,Rock,Sturdy
221,Pierre Coste [FR],urshifu-rapid-strike,Stellar,Unseen Fist
221,Pierre Coste [FR],Rillaboom,Fire,Grassy Surge
221,Pierre Coste [FR],tornadus-incarnate,Dark,Prankster
221,Pierre Coste [FR],calyrex-shadow,Fairy,As One
221,Pierre Coste [FR],Incineroar,Water,Intimidate
221,Pierre Coste [FR],Clefairy,Grass,Friend Guard
222,Pablo Aldana [GT],landorus-incarnate,Ghost,Sheer Force
222,Pablo Aldana [GT],Incineroar,Ghost,Intimidate
222,Pablo Aldana [GT],Kyogre,Grass,Drizzle
222,Pablo Aldana [GT],Grimmsnarl,Grass,Prankster
222,Pablo Aldana [GT],Wo-Chien,Poison,Tablets of Ruin
222,Pablo Aldana [GT],urshifu-rapid-strike,Stellar,Unseen Fist
